"ID","gender","sped","frlunch","esol","black","white","hispanic","asian","age","pretest","posttest"
23452257,0,0,0,0,0,1,0,0,12.511978,241,236
23452236,0,0,1,0,0,1,0,0,12.438056,208,219
23451358,1,1,1,1,0,0,1,0,12.169747,217,202
23451314,1,0,1,0,1,0,0,0,13.316906,202,201
23451081,1,0,0,0,0,1,0,0,12.711841,234,228
23450092,1,0,1,1,0,0,1,0,13.79603,216,198
23450274,0,0,1,0,0,0,0,0,12.610541,203,214
23451152,0,0,1,0,1,0,0,0,11.934292,200,211
23450547,1,0,0,0,0,1,0,0,12.900753,222,233
23452269,0,0,1,0,0,0,1,0,12.36961,227,235
23452384,1,0,0,0,1,0,0,0,12.306639,236,232
23452169,1,0,1,0,1,0,0,0,12.750171,207,223
23451063,1,0,1,0,0,1,0,0,13.574264,232,230
23450317,1,0,1,1,0,0,1,0,12.388775,214,222
23452252,1,0,0,0,0,1,0,0,12.670773,239,238
23450515,0,0,1,0,0,1,0,0,11.994524,205,228
23451169,0,0,0,0,0,1,0,0,12.421629,213,243
23451033,1,1,0,0,0,1,0,0,12.481862,203,221
23451352,1,1,1,1,0,0,1,0,12.44627,197,222
23452712,0,0,1,0,1,0,0,0,13.166324,220,212
23450128,0,0,0,0,0,1,0,0,12.032854,232,245
23451989,1,0,0,0,0,1,0,0,12.785763,205,237
23450527,0,0,0,0,0,1,0,0,12.459959,224,239
23451586,1,0,0,1,0,0,1,0,12.005476,205,229
23451037,0,0,1,0,1,0,0,0,12.339493,206,197
23450046,1,0,0,0,0,1,0,0,12.087611,254,265
23450962,0,0,0,0,0,1,0,0,11.997262,213,240
23451017,1,0,0,0,1,0,0,0,11.978097,229,230
23452127,0,0,1,0,1,0,0,0,12.325804,215,212
23451522,1,NA,0,1,0,0,1,0,12.287474,205,200
23450488,1,0,1,0,0,0,1,0,13.514031,230,235
23452480,1,0,1,0,0,0,0,1,11.909651,203,214
23451676,1,0,1,0,0,1,0,0,12.235455,224,181
23450557,0,0,0,0,0,1,0,0,13.242984,219,225
23451981,0,0,0,0,1,0,0,0,12.008214,220,236
23452116,1,0,0,0,1,0,0,0,12.459959,207,222
23450931,1,0,1,0,1,0,0,0,12.982888,216,220
23450677,1,0,1,0,1,0,0,0,13.204654,196,218
